tag_0,tag_1,p
START,START,0.036585185063170204
START,STOP,0.036585185063170204
START,LB,0.14569401953445676
START,NSE,0.1803833476440725
START,SVS,0.20746032734239014
START,ASA,0.09040030588412974
START,NSM,0.10452614388880693
START,VTHOK,0.020191158102119695
START,LO,0.03845578365513569
START,THAB,0.007088823668590174
START,NM,0.022051928324425235
START,UPI,0.027837224043274784
START,VTHOG,0.09099397004841697
START,PB,0.04318537782176285
START,VTUOP,0.01912846586903373
START,ZE,0.05172050272611968
START,KN,0.06731507114958582
START,ZM,0.06983808002108419
START,KO,0.03797695274736594
START,TRAB,0.0022709982777375476
START,VTHOO,0.016475241973723475
START,VVHOO,0.002100182839447199
START,VVUOP,0.009884860564331483
START,BS,0.050052977125126796
START,VTUOM,0.0358039204509877
START,THAO,0.010023483695033537
START,UPV,0.004268974204718567
START,ZPL,0.010668934497878202
START,RL,0.004934030685505238
START,ZPR,0.00932621221271285
START,NEE,0.016338024922075138
START,PO,0.01021529954334675
START,NA,0.06573714881095355
START,UPO,0.008848770363537532
START,VVHOG,0.02520919610120282
START,ASP,0.01610560865928348
START,UPD,0.0017081487094170553
START,PA,0.015542770437935848
START,BV,0.001736151147276351
START,PDOENP,0.017690578413643646
START,VTHSO,0.003559110419265163
START,UPW,0.009940865440050075
START,UXD,0.0037845360011932476
START,RS,0.016283420451923828
START,PEMP,0.019832756399650143
START,UPS,0.006384555831919485
START,PTEDP,0.000701461352049686
START,PTEW,5.600487571859197e-05
START,BO,0.0004200365678894398
START,NSED,0.00030802681645225583
START,RSF,2.8002437859295985e-05
START,VTHSG,0.007448648470572731
START,PTEB,0.0040211534806867625
START,PV,0.0014785332577599724
START,PEMB,0.01055552434087373
START,RA,0.00106689344978782
START,PDOEW,0.00030802681645225583
START,PDMB,0.0029976612565119566
START,AOA,0.0013441170172462072
START,PTENP,0.007738481361623127
START,AVP,0.0005880511950452157
START,VTHOV,0.0010640926386532475
START,RV,0.001960170650150719
START,RWD,0.004035151862873195
START,VUOT,0.01108896539228121
START,PDHEB,0.0019363694289932822
START,VTUOA,0.0017977576452640883
START,PDHENP,0.0007854686656275739
START,PDVENP,0.0008162719146214425
START,VVHOK,0.002184190153025087
START,UPB,0.0002562231574355228
START,PW,0.0001960170650150719
START,PDVEB,0.0005040438814673278
START,PDMP,0.0038559396646655583
START,PDHEW,0.00011200975143718394
START,PDVEW,2.8002437859295985e-05
START,VVUOM,0.0006720585086231036
START,RK,0.0018761633365728312
START,THBB,0.0005348471304611964
START,THPB,0.0007280633843416956
START,THBO,0.0022177942131535286
START,NME,8.400731357788795e-05
START,PDHEDP,0.0001680146271557759
START,PDVEDP,0.0001960170650150719
START,NSMD,0.0002534223463009502
START,PEENP,0.00394275346286445
START,PEEB,0.00039483494116471647
START,PTMP,0.00011200975143718394
START,THNB,2.8002437859295985e-05
START,PDMW,8.400731357788795e-05
START,AVA,0.001318915390521484
START,PEMW,0.0003920341300301438
START,THPO,0.0002520219407336639
START,TRBB,0.0009086816616030485
START,TRAO,0.00022401950287436788
START,PEEDP,0.0002520219407336639
START,UPG,0.00014001218929647993
START,AOP,0.00014001218929647993
START,RO,5.600487571859197e-05
START,TRBO,2.8002437859295985e-05
STOP,START,0.036585185063170204
STOP,STOP,0.036585185063170204
STOP,LB,0.11825429507980693
STOP,NSE,0.17154293432604723
STOP,SVS,0.1940848968027805
STOP,ASA,0.08316724044210907
STOP,NSM,0.09562832528949579
STOP,VTHOK,0.020133752820833815
STOP,LO,0.031222718213115026
STOP,THAB,0.005768502199014973
STOP,NM,0.020329769885848885
STOP,UPI,0.027722413480703027
STOP,VTHOG,0.08123507222981766
STOP,PB,0.039511439819466636
STOP,VTUOP,0.019013655306461975
STOP,ZE,0.05172050272611968
STOP,KN,0.06513367046072245
STOP,ZM,0.06983808002108419
STOP,KO,0.028562486616481902
STOP,TRAB,0.002156187715165791
STOP,VTHOO,0.014925299379004761
STOP,VVHOO,0.002100182839447199
STOP,VVUOP,0.009884860564331483
STOP,BS,0.04609201271640119
STOP,VTUOM,0.03511505707555716
STOP,THAO,0.007784677724884284
STOP,UPV,0.0037523266731456623
STOP,ZPL,0.009520828872160636
STOP,RL,0.0047044095603617254
STOP,ZPR,0.009268806931426971
STOP,NEE,0.015821377390502232
STOP,PO,0.008148709417055132
STOP,NA,0.060513268213938626
STOP,UPO,0.008848770363537532
STOP,VVHOG,0.024922169694773427
STOP,ASP,0.01478528718970828
STOP,UPD,0.0017081487094170553
STOP,PA,0.012041048279497273
STOP,BV,0.001736151147276351
STOP,PDOENP,0.009940865440050075
STOP,VTHSO,0.0034442998566934064
STOP,UPW,0.009940865440050075
STOP,UXD,0.0024642145316180466
STOP,RS,0.015709367639065046
STOP,PEMP,0.01380520186463292
STOP,UPS,0.006384555831919485
STOP,PTEDP,0.0006440560707638076
STOP,PTEW,5.600487571859197e-05
STOP,BO,0.0004200365678894398
STOP,NSED,0.00030802681645225583
STOP,RSF,2.8002437859295985e-05
STOP,VTHSG,0.007448648470572731
STOP,PTEB,0.0033322901052562225
STOP,PV,0.0005600487571859197
STOP,PEMB,0.009464823996442042
STOP,RA,0.0009520828872160635
STOP,PDOEW,0.00030802681645225583
STOP,PDMB,0.0029402559752260784
STOP,AOA,0.0013441170172462072
STOP,PTENP,0.006188538766904413
STOP,AVP,0.0005880511950452157
STOP,VTHOV,0.0010640926386532475
STOP,RV,0.001960170650150719
STOP,RWD,0.003920341300301438
STOP,VUOT,0.01108896539228121
STOP,PDHEB,0.0017641535851356473
STOP,VTUOA,0.0015681365201205752
STOP,PDHENP,0.0007280633843416956
STOP,PDVENP,0.0006440560707638076
STOP,VVHOK,0.002184190153025087
STOP,UPB,8.400731357788795e-05
STOP,PW,0.0001960170650150719
STOP,PDVEB,0.0005040438814673278
STOP,PDMP,0.0030522657266632623
STOP,PDHEW,0.00011200975143718394
STOP,PDVEW,2.8002437859295985e-05
STOP,VVUOM,0.0006720585086231036
STOP,RK,0.0018761633365728312
STOP,THBB,0.0004200365678894398
STOP,THPB,0.0007280633843416956
STOP,THBO,0.0019881730880100153
STOP,NME,8.400731357788795e-05
STOP,PDHEDP,0.0001680146271557759
STOP,PDVEDP,0.0001960170650150719
STOP,NSMD,0.0001960170650150719
STOP,PEENP,0.0018761633365728312
STOP,PEEB,0.00028002437859295985
STOP,PTMP,0.00011200975143718394
STOP,THNB,2.8002437859295985e-05
STOP,PDMW,8.400731357788795e-05
STOP,AVA,0.0012041048279497273
STOP,PEMW,0.0003920341300301438
STOP,THPO,0.0002520219407336639
STOP,TRBB,0.0003920341300301438
STOP,TRAO,0.00022401950287436788
STOP,PEEDP,0.0002520219407336639
STOP,UPG,0.00014001218929647993
STOP,AOP,0.00014001218929647993
STOP,RO,5.600487571859197e-05
STOP,TRBO,2.8002437859295985e-05
LB,START,0.036585185063170204
LB,STOP,0.036585185063170204
LB,LB,0.11827205496614367
LB,NSE,0.2078974216573283
LB,SVS,0.1940848968027805
LB,ASA,0.0971620308754503
LB,NSM,0.10330059618696205
LB,VTHOK,0.020133752820833815
LB,LO,0.031222718213115026
LB,THAB,0.005910581289708792
LB,NM,0.022212317837541993
LB,UPI,0.027722413480703027
LB,VTHOG,0.08125283211615439
LB,PB,0.03956471947847682
LB,VTUOP,0.019013655306461975
LB,ZE,0.05172050272611968
LB,KN,0.06513367046072245
LB,ZM,0.06983808002108419
LB,KO,0.028562486616481902
LB,TRAB,0.002955382600318526
LB,VTHOO,0.014925299379004761
LB,VVHOO,0.002100182839447199
LB,VVUOP,0.009884860564331483
LB,BS,0.046269611579768465
LB,VTUOM,0.03511505707555716
LB,THAO,0.007980036474588286
LB,UPV,0.0037523266731456623
LB,ZPL,0.009662907962854456
LB,RL,0.006285039444330468
LB,ZPR,0.009268806931426971
LB,NEE,0.01646073329862442
LB,PO,0.008184229189728586
LB,NA,0.06997928763141435
LB,UPO,0.008848770363537532
LB,VVHOG,0.024922169694773427
LB,ASP,0.01478528718970828
LB,UPD,0.0017081487094170553
LB,PA,0.012041048279497273
LB,BV,0.001736151147276351
LB,PDOENP,0.009940865440050075
LB,VTHSO,0.0034442998566934064
LB,UPW,0.009940865440050075
LB,UXD,0.0024642145316180466
LB,RS,0.016064565365799595
LB,PEMP,0.01380520186463292
LB,UPS,0.006384555831919485
LB,PTEDP,0.0006440560707638076
LB,PTEW,5.600487571859197e-05
LB,BO,0.0005265958859098044
LB,NSED,0.0003435465891257107
LB,RSF,2.8002437859295985e-05
LB,VTHSG,0.007448648470572731
LB,PTEB,0.0033322901052562225
LB,PV,0.0005600487571859197
LB,PEMB,0.009464823996442042
LB,RA,0.0009520828872160635
LB,PDOEW,0.00030802681645225583
LB,PDMB,0.0029402559752260784
LB,AOA,0.001930193266358213
LB,PTENP,0.006188538766904413
LB,AVP,0.0005880511950452157
LB,VTHOV,0.0010640926386532475
LB,RV,0.001995690422824174
LB,RWD,0.004275539027035987
LB,VUOT,0.01108896539228121
LB,PDHEB,0.0017641535851356473
LB,VTUOA,0.0015681365201205752
LB,PDHENP,0.0007280633843416956
LB,PDVENP,0.0006440560707638076
LB,VVHOK,0.002184190153025087
LB,UPB,8.400731357788795e-05
LB,PW,0.0001960170650150719
LB,PDVEB,0.0005040438814673278
LB,PDMP,0.0030522657266632623
LB,PDHEW,0.00011200975143718394
LB,PDVEW,2.8002437859295985e-05
LB,VVUOM,0.0006720585086231036
LB,RK,0.0019472028819197409
LB,THBB,0.0004200365678894398
LB,THPB,0.0007280633843416956
LB,THBO,0.002005932974346743
LB,NME,8.400731357788795e-05
LB,PDHEDP,0.0001680146271557759
LB,PDVEDP,0.0001960170650150719
LB,NSMD,0.0001960170650150719
LB,PEENP,0.0018761633365728312
LB,PEEB,0.00028002437859295985
LB,PTMP,0.00011200975143718394
LB,THNB,2.8002437859295985e-05
LB,PDMW,8.400731357788795e-05
LB,AVA,0.0012218647142864549
LB,PEMW,0.0003920341300301438
LB,THPO,0.0002520219407336639
LB,TRBB,0.00040979401636687124
LB,TRAO,0.00034833870723146
LB,PEEDP,0.0002520219407336639
LB,UPG,0.00014001218929647993
LB,AOP,0.00022881162098011714
LB,RO,7.376476205531941e-05
LB,TRBO,2.8002437859295985e-05
NSE,START,0.036585185063170204
NSE,STOP,0.03791966106708793
NSE,LB,0.11905008352251016
NSE,NSE,0.17235096566786898
NSE,SVS,0.21555894185664926
NSE,ASA,0.08343658422271633
NSE,NSM,0.09635065633748795
NSE,VTHOK,0.022288503065691797
NSE,LO,0.03163897678314441
NSE,THAB,0.005817473795489018
NSE,NM,0.020513413372626552
NSE,UPI,0.030513794479723595
NSE,VTHOG,0.08765035136791756
NSE,PB,0.04341692463827173
NSE,VTUOP,0.019209541692358154
NSE,ZE,0.05349572309830381
NSE,KN,0.06973700052928268
