tag_0,tag_1,p
START,START,0.00036859565057132326
START,STOP,0.00036859565057132326
START,LB,0.17655731662366383
START,NSE,0.057132325838555105
START,SVS,0.08625138223368964
START,ASA,0.04681164762255805
START,NSM,0.05750092148912643
START,VTHOK,0.0007371913011426465
START,LO,0.04681164762255805
START,THAB,0.008846295613711759
START,NM,0.01142646516771102
START,UPI,0.0011057869517139699
START,VTHOG,0.06302985624769628
START,PB,0.02395871728713601
START,VTUOP,0.0011057869517139699
START,ZE,0.00036859565057132326
START,KN,0.014375230372281608
START,ZM,0.00036859565057132326
START,KO,0.06081828234426834
START,TRAB,0.0011057869517139699
START,VTHOO,0.010320678215997052
START,VVHOO,0.00036859565057132326
START,VVUOP,0.00036859565057132326
START,BS,0.025801695539992626
START,VTUOM,0.004791743457427202
START,THAO,0.014743826022852931
START,UPV,0.003685956505713233
START,ZPL,0.007740508661997788
START,RL,0.0018429782528566164
START,ZPR,0.0007371913011426465
START,NEE,0.003685956505713233
START,PO,0.01363803907113896
START,NA,0.03391079985256174
START,UPO,0.00036859565057132326
START,VVHOG,0.0022115739034279398
START,ASP,0.008846295613711759
START,UPD,0.00036859565057132326
START,PA,0.02285293033542204
START,BV,0.00036859565057132326
START,PDOENP,0.050129008477699966
START,VTHSO,0.0011057869517139699
START,UPW,0.00036859565057132326
START,UXD,0.008846295613711759
START,RS,0.004054552156284556
START,PEMP,0.03907113896056027
START,UPS,0.00036859565057132326
START,PTEDP,0.0007371913011426465
START,PTEW,0.00036859565057132326
START,BO,0.00036859565057132326
START,NSED,0.00036859565057132326
START,RSF,0.00036859565057132326
START,VTHSG,0.00036859565057132326
START,PTEB,0.004791743457427202
START,PV,0.006266126059712496
START,PEMB,0.007371913011426466
START,RA,0.0011057869517139699
START,PDOEW,0.00036859565057132326
START,PDMB,0.0007371913011426465
START,AOA,0.00036859565057132326
START,PTENP,0.010320678215997052
START,AVP,0.00036859565057132326
START,VTHOV,0.00036859565057132326
START,RV,0.00036859565057132326
START,RWD,0.0011057869517139699
START,VUOT,0.00036859565057132326
START,PDHEB,0.001474382602285293
START,VTUOA,0.0018429782528566164
START,PDHENP,0.0007371913011426465
START,PDVENP,0.001474382602285293
START,VVHOK,0.00036859565057132326
START,UPB,0.001474382602285293
START,PW,0.00036859565057132326
START,PDVEB,0.00036859565057132326
START,PDMP,0.0055289347585698485
START,PDHEW,0.00036859565057132326
